
top - 15:20:16 up 11 min,  2 users,  load average: 0.12, 0.33, 0.30
Tasks: 187 total,   2 running, 185 sleeping,   0 stopped,   0 zombie
Cpu(s):  1.6%us,  0.7%sy,  0.9%ni, 91.8%id,  4.9%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:   4008132k total,  2234824k used,  1773308k free,   190076k buffers
Swap:  4151292k total,        0k used,  4151292k free,   622864k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                                                      
 2360 james      9 -11  426m 6160 3952 S    0  0.2   0:00.76 pulseaudio                                                                                                   
 2362 james     20   0 57880 3588 2068 S    0  0.1   0:00.07 gconfd-2                                                                                                     
 2364 james     20   0 46104 2164 1760 S    0  0.1   0:00.00 gvfsd-metadata                                                                                               
 2365 james     20   0  300m 8744 6568 S    0  0.2   0:00.05 polkit-gnome-au                                                                                              
 2366 james     20   0  728m  27m  17m S    0  0.7   0:00.68 nautilus                                                                                                     
 2371 james     20   0  423m  12m 8620 S    0  0.3   0:00.05 bluetooth-apple                                                                                              
 2373 james     20   0  444m 8728 6524 S    0  0.2   0:00.03 gnome-fallback-                                                                                              
 2376 james     20   0  488m  16m  11m S    0  0.4   0:00.09 nm-applet                                                                                                    
 2383 james     20   0 70344 3672 2976 S    0  0.1   0:00.01 gvfs-gdu-volume                                                                                              
 2386 james     20   0  779m 109m  47m S    0  2.8   0:04.38 chromium-browse                                                                                              
 2389 james     20   0 95956 2980 2292 S    0  0.1   0:00.00 gconf-helper                                                                                                 
 2391 root      20   0  188m 3816 3000 S    0  0.1   0:00.06 udisks-daemon                                                                                                
 2399 root      20   0 45516  800  448 S    0  0.0   0:00.00 udisks-daemon                                                                                                
 2402 james     20   0  138m 2512 2020 S    0  0.1   0:00.00 gvfs-afc-volume                                                                                              
 2405 james     20   0 60336 2500 1916 S    0  0.1   0:00.00 gvfs-gphoto2-vo                                                                                              
 2410 james     20   0  264m 7692 2148 S    0  0.2   0:00.39 chromium-browse                                                                                              
 2411 james     20   0  6464  408  320 S    0  0.0   0:00.00 chromium-browse                                                                                              
 2412 james     20   0  283m  18m  12m S    0  0.5   0:00.04 chromium-browse                                                                                              
 2415 james     20   0 56892 3232 2708 S    0  0.1   0:00.00 gvfsd-trash                                                                                                  
 2421 james     20   0 52424 2640 2220 S    0  0.1   0:00.00 gvfsd-burn                                                                                                   
 2425 james     20   0  383m 9.9m 7428 S    0  0.3   0:00.29 bamfdaemon                                                                                                   
 2426 james     20   0  291m 6044  592 S    0  0.2   0:00.00 chromium-browse                                                                                              
 2461 james     20   0  324m 9352 6984 S    0  0.2   0:00.04 gdu-notificatio                                                                                              
 2462 root      20   0     0    0    0 R    0  0.0   0:00.08 kworker/0:2                                                                                                  
 2474 james     20   0  962m 113m  16m S    0  2.9   0:03.42 chromium-browse                                                                                              
 2479 james     20   0  866m  25m  13m S    0  0.7   0:00.11 chromium-browse                                                                                              
 2483 james     20   0  866m  25m  13m S    0  0.7   0:00.09 chromium-browse                                                                                              
 2488 james     20   0  868m  28m  14m S    0  0.7   0:00.16 chromium-browse                                                                                              
 2493 james     20   0  872m  32m  15m S    0  0.8   0:00.27 chromium-browse                                                                                              
 2506 james     20   0  4400  612  512 S    0  0.0   0:00.00 sh                                                                                                           
 2507 james     20   0  312m  11m 8528 S    0  0.3   0:00.14 gtk-window-deco                                                                                              
 2514 james     20   0  421m 5048 3496 S    0  0.1   0:00.18 hud-service                                                                                                  
 2533 james     20   0  419m 5048 3968 S    0  0.1   0:00.02 indicator-appli                                                                                              
 2535 james     20   0  477m 9.9m 7512 S    0  0.3   0:00.03 indicator-print                                                                                              
 2538 james     20   0  359m 6500 4948 S    0  0.2   0:00.03 indicator-messa                                                                                              
 2539 james     20   0  516m 6396 4984 S    0  0.2   0:00.12 indicator-sessi                                                                                              
 2544 james     20   0  552m 7400 5792 S    0  0.2   0:00.01 indicator-datet                                                                                              
 2546 james     20   0  517m 6984 5436 S    0  0.2   0:00.03 indicator-sound                                                                                              
 2571 james     20   0 47860 2716 2264 S    0  0.1   0:00.00 geoclue-master                                                                                               
 2578 james     20   0  325m 6564 5280 S    0  0.2   0:00.01 ubuntu-geoip-pr                                                                                              
 2593 james     20   0  419m  10m 8460 S    0  0.3   0:00.03 telepathy-indic                                                                                              
 2603 james     20   0  313m 6388 5108 S    0  0.2   0:00.02 mission-control                                                                                              
 2608 james     20   0  390m  13m  10m S    0  0.3   0:00.01 goa-daemon                                                                                                   
 2612 james     20   0  407m 5592 4472 S    0  0.1   0:00.02 zeitgeist-datah                                                                                              
 2618 james     20   0  339m 4664 3688 S    0  0.1   0:00.04 zeitgeist-daemo                                                                                              
 2666 james     20   0  302m 8984 6744 S    0  0.2   0:00.03 gnome-screensav                                                                                              
 2673 james     20   0  239m 9184 7000 S    0  0.2   0:00.04 zeitgeist-fts                                                                                                
 2681 james     20   0 11380  360  280 S    0  0.0   0:00.00 cat                                                                                                          
 2739 james     20   0  397m  12m 9656 S    0  0.3   0:00.12 update-notifier                                                                                              
 2750 root      20   0 95412  12m 5508 S    0  0.3   0:00.07 system-service-                                                                                              
 2754 james     30  10  649m  97m  17m S    0  2.5   0:06.24 update-manager                                                                                               
 2759 james     20   0  255m 2692 2160 S    0  0.1   0:00.00 dconf-service                                                                                                
 2791 james     20   0  407m  11m 8132 S    0  0.3   0:00.17 unity-applicati                                                                                              
 2793 james     20   0  856m 6268 5068 S    0  0.2   0:00.03 unity-files-dae                                                                                              
 2795 james     20   0  721m 8248 6300 S    0  0.2   0:00.06 unity-music-dae                                                                                              
 2797 james     20   0  430m  15m 7788 S    0  0.4   0:00.12 unity-lens-vide                                                                                              
 2833 james     20   0  474m  20m 9468 S    0  0.5   0:00.19 unity-scope-vid                                                                                              
 2835 james     20   0  572m 4620 3728 S    0  0.1   0:00.02 unity-musicstor                                                                                              
 2862 root      20   0  4400  612  508 S    0  0.0   0:00.00 sh                                                                                                           
 2863 root      30  10  4300  612  500 S    0  0.0   0:00.00 run-parts                                                                                                    
 2869 root      30  10  4400  728  592 S    0  0.0   0:00.00 apt                                                                                                          
 2903 root      30  10  4308  356  276 S    0  0.0   0:00.00 sleep                                                                                                        
 2904 james     20   0  282m 3672 3032 S    0  0.1   0:00.02 deja-dup-monito                                                                                              
 3113 james     20   0  511m  16m  11m S    0  0.4   0:00.43 gnome-terminal                                                                                               
 3119 james     20   0 14788  828  672 S    0  0.0   0:00.00 gnome-pty-helpe                                                                                              
 3120 james     20   0 28472 5488 1708 S    0  0.1   0:00.23 bash                                                                                                         
 3188 root      20   0     0    0    0 S    0  0.0   0:00.00 kworker/0:0              
